In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Unknown. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Use_tablet. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Use_tablet, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Use_tablet, Put_something_on_table, Watch_TV. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Use_tablet, Put_something_on_table, Watch_TV, Get_up. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Use_tablet, Put_something_on_table, Watch_TV, Get_up, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Put_something_on_table, Watch_TV, Get_up, Walk, Leave. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Watch_TV, Get_up, Walk, Leave, Enter. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Get_up, Walk, Leave, Enter, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Walk, Leave, Enter, Walk, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Leave, Enter, Walk, Take_something_off_table, Watch_TV. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Enter, Walk, Take_something_off_table, Watch_TV, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Walk, Take_something_off_table, Watch_TV, Put_something_on_table, Sit_down. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Take_something_off_table, Watch_TV, Put_something_on_table, Sit_down, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Watch_TV, Put_something_on_table, Sit_down, Take_something_off_table, Use_tablet. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Put_something_on_table, Sit_down, Take_something_off_table, Use_tablet, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Sit_down, Take_something_off_table, Use_tablet, Put_something_on_table, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Take_something_off_table, Use_tablet, Put_something_on_table, Take_something_off_table, Watch_TV. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Use_tablet, Put_something_on_table, Take_something_off_table, Watch_TV, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Put_something_on_table, Take_something_off_table, Watch_TV, Put_something_on_table, Watch_TV. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Take_something_off_table, Watch_TV, Put_something_on_table, Watch_TV, Use_glasses. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Watch_TV, Put_something_on_table, Watch_TV, Use_glasses, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Put_something_on_table, Watch_TV, Use_glasses, Put_something_on_table, Lay_down. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Watch_TV, Use_glasses, Put_something_on_table, Lay_down, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Use_glasses, Put_something_on_table, Lay_down, Take_something_off_table, Use_glasses. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Put_something_on_table, Lay_down, Take_something_off_table, Use_glasses, Watch_TV. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Lay_down, Take_something_off_table, Use_glasses, Watch_TV, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Take_something_off_table, Use_glasses, Watch_TV, Take_something_off_table, Use_tablet. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Use_glasses, Watch_TV, Take_something_off_table, Use_tablet, Watch_TV. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Watch_TV, Take_something_off_table, Use_tablet, Watch_TV, Use_tablet. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Take_something_off_table, Use_tablet, Watch_TV, Use_tablet, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Use_tablet, Watch_TV, Use_tablet, Put_something_on_table, Use_glasses. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Watch_TV, Use_tablet, Put_something_on_table, Use_glasses, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Use_tablet, Put_something_on_table, Use_glasses, Take_something_off_table, Use_glasses. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Put_something_on_table, Use_glasses, Take_something_off_table, Use_glasses, Get_up. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Use_glasses, Take_something_off_table, Use_glasses, Get_up, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Take_something_off_table, Use_glasses, Get_up, Walk, Leave. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Use_glasses, Get_up, Walk, Leave, Enter. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Get_up, Walk, Leave, Enter, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Walk, Leave, Enter, Walk, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Leave, Enter, Walk, Walk, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Enter, Walk, Walk, Walk, Watch_TV. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Walk, Walk, Walk, Watch_TV, Sit_down. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Walk, Walk, Watch_TV, Sit_down, Watch_TV. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Walk, Watch_TV, Sit_down, Watch_TV, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Watch_TV, Sit_down, Watch_TV, Take_something_off_table, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Sit_down, Watch_TV, Take_something_off_table, Put_something_on_table, Eat_snack. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Watch_TV, Take_something_off_table, Put_something_on_table, Eat_snack, Use_glasses. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Take_something_off_table, Put_something_on_table, Eat_snack, Use_glasses, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Put_something_on_table, Eat_snack, Use_glasses, Put_something_on_table, Use_glasses. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Eat_snack, Use_glasses, Put_something_on_table, Use_glasses, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Use_glasses, Put_something_on_table, Use_glasses, Take_something_off_table, Use_tablet. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Put_something_on_table, Use_glasses, Take_something_off_table, Use_tablet, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Use_glasses, Take_something_off_table, Use_tablet, Put_something_on_table, Use_glasses. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Take_something_off_table, Use_tablet, Put_something_on_table, Use_glasses, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Use_tablet, Put_something_on_table, Use_glasses, Put_something_on_table, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Put_something_on_table, Use_glasses, Put_something_on_table, Take_something_off_table, Watch_TV. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Use_glasses, Put_something_on_table, Take_something_off_table, Watch_TV, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Put_something_on_table, Take_something_off_table, Watch_TV, Put_something_on_table, Lay_down. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Take_something_off_table, Watch_TV, Put_something_on_table, Lay_down, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Watch_TV, Put_something_on_table, Lay_down, Take_something_off_table, Watch_TV. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Put_something_on_table, Lay_down, Take_something_off_table, Watch_TV, Use_glasses. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Lay_down, Take_something_off_table, Watch_TV, Use_glasses, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Take_something_off_table, Watch_TV, Use_glasses, Take_something_off_table, Use_tablet. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Watch_TV, Use_glasses, Take_something_off_table, Use_tablet, Use_tablet. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Use_glasses, Take_something_off_table, Use_tablet, Use_tablet, Watch_TV. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Take_something_off_table, Use_tablet, Use_tablet, Watch_TV, Use_tablet. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Use_tablet, Use_tablet, Watch_TV, Use_tablet, Watch_TV. The person is now performing a different action.
