In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Unknown. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Enter. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Enter, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Enter, Walk, Make_coffee. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Enter, Walk, Make_coffee, Get_water. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Enter, Walk, Make_coffee, Get_water, Make_coffee.Pour_water. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Make_coffee, Get_water, Make_coffee.Pour_water, Use_Drawer. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Make_coffee, Get_water, Make_coffee.Pour_water, Use_Drawer, Use_Drawer. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Get_water, Make_coffee.Pour_water, Use_Drawer, Use_Drawer, Make_coffee.Pour_grains. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Make_coffee.Pour_water, Use_Drawer, Use_Drawer, Make_coffee.Pour_grains, Use_Drawer. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Use_Drawer, Use_Drawer, Make_coffee.Pour_grains, Use_Drawer, Use_telephone. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Use_Drawer, Make_coffee.Pour_grains, Use_Drawer, Use_telephone, Leave. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Make_coffee.Pour_grains, Use_Drawer, Use_telephone, Leave, Enter. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Use_Drawer, Use_telephone, Leave, Enter, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Use_telephone, Leave, Enter, Put_something_on_table, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Leave, Enter, Put_something_on_table, Walk, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Enter, Put_something_on_table, Walk, Take_something_off_table, Pour.From_kettle. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Put_something_on_table, Walk, Take_something_off_table, Pour.From_kettle, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Take_something_off_table, Pour.From_kettle, Walk, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Take_something_off_table, Pour.From_kettle, Walk, Walk, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Pour.From_kettle, Walk, Walk, Put_something_on_table, Stir_coffee/tea. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Walk, Put_something_on_table, Stir_coffee/tea, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Put_something_on_table, Stir_coffee/tea, Drink.From_cup, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Put_something_on_table, Stir_coffee/tea, Drink.From_cup, Drink.From_cup, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Stir_coffee/tea, Drink.From_cup, Drink.From_cup, Drink.From_cup, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Drink.From_cup, Drink.From_cup, Drink.From_cup, Walk, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Drink.From_cup, Drink.From_cup, Walk, Walk, Dump_in_trash. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Drink.From_cup, Walk, Walk, Dump_in_trash, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Walk, Dump_in_trash, Walk, Dump_in_trash. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Dump_in_trash, Walk, Dump_in_trash, Leave. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Dump_in_trash, Walk, Dump_in_trash, Leave, Enter. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Dump_in_trash, Leave, Enter, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Dump_in_trash, Leave, Enter, Walk, Leave. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Leave, Enter, Walk, Leave, Enter. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Enter, Walk, Leave, Enter, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Leave, Enter, Walk, Make_coffee. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Leave, Enter, Walk, Make_coffee, Get_water. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Enter, Walk, Make_coffee, Get_water, Make_coffee.Pour_water. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Make_coffee, Get_water, Make_coffee.Pour_water, Use_Drawer. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Make_coffee, Get_water, Make_coffee.Pour_water, Use_Drawer, Make_coffee.Pour_grains. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Get_water, Make_coffee.Pour_water, Use_Drawer, Make_coffee.Pour_grains, Use_Drawer. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Make_coffee.Pour_water, Use_Drawer, Make_coffee.Pour_grains, Use_Drawer, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Use_Drawer, Make_coffee.Pour_grains, Use_Drawer, Walk, Leave. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Make_coffee.Pour_grains, Use_Drawer, Walk, Leave, Enter. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Use_Drawer, Walk, Leave, Enter, Use_telephone. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Leave, Enter, Use_telephone, Leave. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Leave, Enter, Use_telephone, Leave, Enter. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Enter, Use_telephone, Leave, Enter, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Use_telephone, Leave, Enter, Put_something_on_table, Pour.From_kettle. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Leave, Enter, Put_something_on_table, Pour.From_kettle, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Enter, Put_something_on_table, Pour.From_kettle, Walk, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Put_something_on_table, Pour.From_kettle, Walk, Walk, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Pour.From_kettle, Walk, Walk, Put_something_on_table, Stir_coffee/tea. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Walk, Put_something_on_table, Stir_coffee/tea, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Put_something_on_table, Stir_coffee/tea, Take_something_off_table, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Put_something_on_table, Stir_coffee/tea, Take_something_off_table, Drink.From_cup, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Stir_coffee/tea, Take_something_off_table, Drink.From_cup, Drink.From_cup, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Take_something_off_table, Drink.From_cup, Drink.From_cup, Drink.From_cup, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Drink.From_cup, Drink.From_cup, Drink.From_cup, Drink.From_cup, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Drink.From_cup, Drink.From_cup, Drink.From_cup, Put_something_on_table, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Drink.From_cup, Drink.From_cup, Put_something_on_table, Walk, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Drink.From_cup, Put_something_on_table, Walk, Walk, Dump_in_trash. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Put_something_on_table, Walk, Walk, Dump_in_trash, Dump_in_trash. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Walk, Dump_in_trash, Dump_in_trash, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Dump_in_trash, Dump_in_trash, Walk, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Dump_in_trash, Dump_in_trash, Walk, Walk, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Dump_in_trash, Walk, Walk, Take_something_off_table, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Walk, Take_something_off_table, Drink.From_cup, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Take_something_off_table, Drink.From_cup, Walk, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Take_something_off_table, Drink.From_cup, Walk, Walk, Walk. The person is now performing a different action.
