In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Unknown. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Enter. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Enter, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Enter, Walk, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Enter, Walk, Put_something_on_table, Sit_down. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Enter, Walk, Put_something_on_table, Sit_down, Write. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Walk, Put_something_on_table, Sit_down, Write, Write. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Sit_down, Write, Write, Write. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Sit_down, Write, Write, Write, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Write, Write, Write, Take_something_off_table, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Write, Write, Take_something_off_table, Drink.From_cup, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Write, Take_something_off_table, Drink.From_cup, Put_something_on_table, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Drink.From_cup, Put_something_on_table, Take_something_off_table, Eat_snack. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Drink.From_cup, Put_something_on_table, Take_something_off_table, Eat_snack, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Take_something_off_table, Eat_snack, Take_something_off_table, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Eat_snack, Take_something_off_table, Drink.From_cup, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Eat_snack, Take_something_off_table, Drink.From_cup, Put_something_on_table, Eat_snack. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Drink.From_cup, Put_something_on_table, Eat_snack, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Drink.From_cup, Put_something_on_table, Eat_snack, Take_something_off_table, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Eat_snack, Take_something_off_table, Drink.From_cup, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Eat_snack, Take_something_off_table, Drink.From_cup, Put_something_on_table, Get_up. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Drink.From_cup, Put_something_on_table, Get_up, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Drink.From_cup, Put_something_on_table, Get_up, Walk, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Get_up, Walk, Walk, Use_telephone. The person is now performing a different action.
